Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seats.1,Margin,State
Andaman & Nicobar Islands,1,BISHNU PADA RAY,Bharatiya Janata Party,1,KULDEEP RAI SHARMA,Indian National Congress,0,24396,Andaman & Nicobar Islands
Amalapuram (SC),7,G M HARISH (BALAYOGI),Telugu Desam,16,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,4,342196,Andra Pradesh
Anakapalle,5,C.M.RAMESH,Bharatiya Janata Party,3,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,4,296530,Andra Pradesh
Ananthapur,19,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,16,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,4,188555,Andra Pradesh
Araku (ST),1,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,4,KOTHAPALLI GEETHA,Bharatiya Janata Party,3,50580,Andra Pradesh
Bapatla (SC),15,KRISHNA PRASAD TENNETI,Telugu Desam,16,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,4,208031,Andra Pradesh
Chittoor(SC),25,DAGGUMALLA PRASADA RAO,Telugu Desam,16,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,4,220479,Andra Pradesh
Eluru,10,PUTTA MAHESH KUMAR,Telugu Desam,16,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,4,181857,Andra Pradesh
Guntur,13,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,16,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,4,344695,Andra Pradesh
Hindupur,20,B K PARTHASARATHI,Telugu Desam,16,J SHANTHA,Yuvajana Sramika Rythu Congress Party,4,132427,Andra Pradesh
Kadapa,21,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,4,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,16,62695,Andra Pradesh
Kakinada,6,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,2,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,4,229491,Andra Pradesh
Kurnoolu,18,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,16,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,4,111298,Andra Pradesh
Machilipatnam,11,BALASHOWRY VALLABHANENI,Janasena Party,2,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,4,223179,Andra Pradesh
Nandyal,17,DR BYREDDY SHABARI,Telugu Desam,16,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,4,111975,Andra Pradesh
Narsapuram,9,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,3,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,4,276802,Andra Pradesh
Narsaraopet,14,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,16,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,4,159729,Andra Pradesh
Nellore,22,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,16,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,4,245902,Andra Pradesh
Ongole,16,MAGUNTA SREENIVASULU REDDY,Telugu Desam,16,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,4,50199,Andra Pradesh
Rajahmundry,8,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,3,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,4,239139,Andra Pradesh
Rajampet,24,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,4,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,3,76071,Andra Pradesh
Srikakulam,2,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,16,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,4,327901,Andra Pradesh
Thirupathi(SC),23,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,4,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,3,14569,Andra Pradesh
Vijayawada,12,KESINENI SIVANATH (CHINNI),Telugu Desam,16,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,4,282085,Andra Pradesh
