tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
Barpeta,3,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,1,DEEP BAYAN,Indian National Congress,3,222351,Assam
Darrang-Udalguri,4,DILIP SAIKIA,Bharatiya Janata Party,9,MADHAB RAJBANGSHI,Indian National Congress,3,329012,Assam
Dhubri,2,RAKIBUL HUSSAIN,Indian National Congress,3,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,0,1012476,Assam
Dibrugarh,13,SARBANANDA SONOWAL,Bharatiya Janata Party,9,LURINJYOTI GOGOI,Assam Jatiya Parishad,0,279321,Assam
Diphu,6,AMARSING TISSO,Bharatiya Janata Party,9,J. I. KATHAR,Independent,0,147603,Assam
Guwahati,5,BIJULI KALITA MEDHI,Bharatiya Janata Party,9,MIRA BORTHAKUR GOSWAMI,Indian National Congress,3,251090,Assam
Jorhat,14,GAURAV GOGOI,Indian National Congress,3,TOPON KUMAR GOGOI,Bharatiya Janata Party,9,144393,Assam
Karimganj,7,KRIPANATH MALLAH,Bharatiya Janata Party,9,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,3,18360,Assam
Kaziranga,10,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,9,ROSELINA TIRKEY,Indian National Congress,3,248947,Assam
Kokrajhar,1,JOYANTA BASUMATARY,"United People’s Party, Liberal",1,KAMPA BORGOYARI,Bodoland Peoples Front,0,51583,Assam
Lakhimpur,12,PRADAN BARUAH,Bharatiya Janata Party,9,UDAY SHANKAR HAZARIKA,Indian National Congress,3,201257,Assam
Nagaon,9,PRADYUT BORDOLOI,Indian National Congress,3,SURESH BORAH,Bharatiya Janata Party,9,212231,Assam
Silchar,8,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,9,SURYA KANTA SARKAR,Indian National Congress,3,264311,Assam
Sonitpur,11,RANJIT DUTTA,Bharatiya Janata Party,9,PREMLAL GANJU,Indian National Congress,3,361408,Assam
