tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
Araria,9,PRADEEP KUMAR SINGH,Bharatiya Janata Party,12,SHAHNAWAZ,Rashtriya Janata Dal,4,20094,Bihar
Arrah,32,SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),2,R. K. SINGH,Bharatiya Janata Party,12,59808,Bihar
Aurangabad,37,ABHAY KUMAR SINHA,Rashtriya Janata Dal,4,SUSHIL KUMAR SINGH,Bharatiya Janata Party,12,79111,Bihar
Banka,27,GIRIDHARI YADAV,Janata Dal  (United),12,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,4,103844,Bihar
Begusarai,24,GIRIRAJ SINGH,Bharatiya Janata Party,12,ABDHESH KUMAR ROY,Communist Party of India,0,81480,Bihar
Bhagalpur,26,AJAY KUMAR MANDAL,Janata Dal  (United),12,AJEET SHARMA,Indian National Congress,3,104868,Bihar
Buxar,33,SUDHAKAR SINGH,Rashtriya Janata Dal,4,MITHILESH TIWARI,Bharatiya Janata Party,12,30091,Bihar
Darbhanga,14,GOPAL JEE THAKUR,Bharatiya Janata Party,12,LALIT KUMAR YADAV,Rashtriya Janata Dal,4,178156,Bihar
Gaya,38,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),1,KUMAR SARVJEET,Rashtriya Janata Dal,4,101812,Bihar
Gopalganj,17,DR. ALOK KUMAR SUMAN,Janata Dal  (United),12,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,0,127180,Bihar
Hajipur,21,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),5,SHIV CHANDRA RAM,Rashtriya Janata Dal,4,170105,Bihar
Jahanabad,36,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,4,CHANDESHWAR PRASAD,Janata Dal  (United),12,142591,Bihar
Jamui,40,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),5,ARCHANA KUMARI,Rashtriya Janata Dal,4,112482,Bihar
Jhanjharpur,7,RAMPRIT MANDAL,Janata Dal  (United),12,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,0,184169,Bihar
Karakat,35,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),2,PAWAN SINGH,Independent,1,105858,Bihar
Katihar,11,TARIQ ANWAR,Indian National Congress,3,DULAL CHANDRA GOSWAMI,Janata Dal  (United),12,49863,Bihar
Khagaria,25,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),5,SANJAY KUMAR,Communist Party of India  (Marxist),0,161131,Bihar
Kishanganj,10,MOHAMMAD JAWED,Indian National Congress,3,MUJAHID ALAM,Janata Dal  (United),12,59692,Bihar
Madhepura,13,DINESH CHANDRA YADAV,Janata Dal  (United),12,DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,4,174534,Bihar
Madhubani,6,ASHOK KUMAR YADAV,Bharatiya Janata Party,12,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,4,151945,Bihar
Maharajganj,19,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,12,AAKASH KUMAR SINGH,Indian National Congress,3,102651,Bihar
Munger,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),12,KUMARI ANITA,Rashtriya Janata Dal,4,80870,Bihar
Muzaffarpur,15,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,12,AJAY NISHAD,Indian National Congress,3,234927,Bihar
Nalanda,29,KAUSHALENDRA KUMAR,Janata Dal  (United),12,DR. SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation),2,169114,Bihar
