tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
BASTAR,10,MAHESH KASHYAP,Bharatiya Janata Party,10,KAWASI LAKHMA,Indian National Congress,1,55245,Chattisgarh
BILASPUR,5,TOKHAN SAHU,Bharatiya Janata Party,10,DEVENDRA YADAV,Indian National Congress,1,164558,Chattisgarh
DURG,7,VIJAY BAGHEL,Bharatiya Janata Party,10,RAJENDRA SAHU,Indian National Congress,1,438226,Chattisgarh
JANJGIR-CHAMPA,3,KAMLESH JANGDE,Bharatiya Janata Party,10,DR. SHIVKUMAR DAHARIYA,Indian National Congress,1,60000,Chattisgarh
KANKER,11,BHOJRAJ NAG,Bharatiya Janata Party,10,BIRESH THAKUR,Indian National Congress,1,1884,Chattisgarh
KORBA,4,JYOTSNA CHARANDAS MAHANT,Indian National Congress,1,SAROJ PANDEY,Bharatiya Janata Party,10,43283,Chattisgarh
MAHASAMUND,9,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,10,TAMRADHWAJ SAHU,Indian National Congress,1,145456,Chattisgarh
RAIGARH,2,RADHESHYAM RATHIYA,Bharatiya Janata Party,10,DR. MENKA DEVI SINGH,Indian National Congress,1,240391,Chattisgarh
RAIPUR,8,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,10,VIKAS UPADHYAY,Indian National Congress,1,575285,Chattisgarh
RAJNANDGAON,6,SANTOSH PANDEY,Bharatiya Janata Party,10,BHUPESH BAGHEL,Indian National Congress,1,44411,Chattisgarh
SURGUJA,1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,10,SHASHI SINGH KORAM,Indian National Congress,1,64822,Chattisgarh
