tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
Ahmedabad East,7,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,25,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,1,461755,Gujrat
Ahmedabad West,8,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,25,BHARAT YOGENDRA MAKWANA,Indian National Congress,1,286437,Gujrat
Amreli,14,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,25,JENNY THUMMAR,Indian National Congress,1,321068,Gujrat
Anand,16,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,25,AMIT CHAVDA,Indian National Congress,1,89939,Gujrat
Banaskantha,2,GENIBEN NAGAJI THAKOR,Indian National Congress,1,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,25,30406,Gujrat
Bardoli,23,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,25,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,1,230253,Gujrat
Bharuch,22,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,25,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,0,85696,Gujrat
Bhavnagar,15,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,25,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,0,455289,Gujrat
Chhota Udaipur,21,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,25,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,1,398777,Gujrat
Dahod,19,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,25,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,1,333677,Gujrat
Gandhinagar,6,AMIT SHAH,Bharatiya Janata Party,25,SONAL RAMANBHAI PATEL,Indian National Congress,1,744716,Gujrat
Jamnagar,12,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,25,ADVOCATE J. P. MARAVIYA,Indian National Congress,1,238008,Gujrat
Junagadh,13,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,25,JOTVA HIRABHAI ARJANBHAI,Indian National Congress,1,135494,Gujrat
Kachchh,1,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,25,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,1,268782,Gujrat
Kheda,17,DEVUSINH CHAUHAN,Bharatiya Janata Party,25,KALUSINH DABHI,Indian National Congress,1,357758,Gujrat
Mahesana,4,HARIBHAI PATEL,Bharatiya Janata Party,25,RAMJI THAKOR,Indian National Congress,1,328046,Gujrat
Navsari,25,C R PATIL,Bharatiya Janata Party,25,NAISHADHBHAI BHUPATBHAI  DESAI,Indian National Congress,1,773551,Gujrat
Panchmahal,18,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,25,GULABSINH SOMSINH CHAUHAN,Indian National Congress,1,509342,Gujrat
Patan,3,DABHI  BHARATSINHJI  SHANKARJI,Bharatiya Janata Party,25,CHANDANJI TALAJI THAKOR,Indian National Congress,1,31876,Gujrat
Porbandar,11,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,25,LALIT VASOYA,Indian National Congress,1,383360,Gujrat
Rajkot,10,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,25,DHANANI PARESH,Indian National Congress,1,484260,Gujrat
Sabarkantha,5,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,25,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,1,155682,Gujrat
Surat,24,MUKESHKUMAR CHANDRAKAANT DALAL,Bharatiya Janata Party,25,,,0,-,Gujrat
Surendranagar,9,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,25,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,1,261617,Gujrat
Vadodara,20,DR. HEMANG JOSHI,Bharatiya Janata Party,25,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,1,582126,Gujrat
Valsad,26,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,25,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,1,210704,Gujrat
