Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seats,Margin,State
AMBALA,1,VARUN CHAUDHRY,Indian National Congress,5,BANTO KATARIA,Bharatiya Janata Party,5,49036,Haryana
BHIWANI-MAHENDRAGARH,8,DHARAMBIR SINGH,Bharatiya Janata Party,5,RAO DAN SINGH,Indian National Congress,5,41510,Haryana
FARIDABAD,10,KRISHAN PAL,Bharatiya Janata Party,5,MAHENDER PRATAP SINGH,Indian National Congress,5,172914,Haryana
GURGAON,9,RAO INDERJIT SINGH,Bharatiya Janata Party,5,RAJ BABBAR,Indian National Congress,5,75079,Haryana
HISAR,4,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,5,RANJIT SINGH,Bharatiya Janata Party,5,63381,Haryana
KARNAL,5,MANOHAR LAL,Bharatiya Janata Party,5,DIVYANSHU BUDHIRAJA,Indian National Congress,5,232577,Haryana
KURUKSHETRA,2,NAVEEN JINDAL,Bharatiya Janata Party,5,DR SUSHIL GUPTA,Aam Aadmi Party,0,29021,Haryana
ROHTAK,7,DEEPENDER SINGH HOODA,Indian National Congress,5,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,5,345298,Haryana
SIRSA,3,SELJA,Indian National Congress,5,ASHOK TANWAR,Bharatiya Janata Party,5,268497,Haryana
SONIPAT,6,SATPAL BRAHAMCHARI,Indian National Congress,5,MOHAN LAL BADOLI,Bharatiya Janata Party,5,21816,Haryana
