tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
Bagalkot,3,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,17,SAMYUKTA SHIVANAND PATIL,Indian National Congress,9,68399,Karnataka
Bangalore central,25,P C MOHAN,Bharatiya Janata Party,17,MANSOOR ALI KHAN,Indian National Congress,9,32707,Karnataka
Bangalore North,24,SHOBHA KARANDLAJE,Bharatiya Janata Party,17,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,9,259476,Karnataka
Bangalore Rural,23,DR C N MANJUNATH,Bharatiya Janata Party,17,D K SURESH,Indian National Congress,9,269647,Karnataka
Bangalore South,26,TEJASVI SURYA,Bharatiya Janata Party,17,SOWMYA REDDY,Indian National Congress,9,277083,Karnataka
Belgaum,2,JAGADISH SHETTAR,Bharatiya Janata Party,17,MRINAL R HEBBALKAR,Indian National Congress,9,178437,Karnataka
Bellary,9,E. TUKARAM,Indian National Congress,9,B. SREERAMULU,Bharatiya Janata Party,17,98992,Karnataka
Bidar,7,SAGAR ESHWAR KHANDRE,Indian National Congress,9,BHAGWANTH KHUBA,Bharatiya Janata Party,17,128875,Karnataka
Bijapur,4,RAMESH JIGAJINAGI,Bharatiya Janata Party,17,RAJU ALAGUR.,Indian National Congress,9,77229,Karnataka
Chamarajanagar,22,SUNIL BOSE,Indian National Congress,9,BALARAJ.S,Bharatiya Janata Party,17,188706,Karnataka
Chikkballapur,27,DR.K.SUDHAKAR,Bharatiya Janata Party,17,M.S. RAKSHA RAMAIAH,Indian National Congress,9,163460,Karnataka
Chikkodi,1,PRIYANKA SATISH JARKIHOLI,Indian National Congress,9,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,17,90834,Karnataka
Chitradurga,18,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,17,B.N.CHANDRAPPA,Indian National Congress,9,48121,Karnataka
Dakshina Kannada,17,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,17,PADMARAJ.R.POOJARY,Indian National Congress,9,149208,Karnataka
Davanagere,13,DR. PRABHA MALLIKARJUN,Indian National Congress,9,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,17,26094,Karnataka
Dharwad,11,PRALHAD JOSHI,Bharatiya Janata Party,17,VINOD ASOOTI,Indian National Congress,9,97324,Karnataka
Gulbarga,5,RADHAKRISHNA,Indian National Congress,9,DR. UMESH G JADHAV,Bharatiya Janata Party,17,27205,Karnataka
Hassan,16,SHREYAS. M. PATEL,Indian National Congress,9,PRAJWAL REVANNA,Janata Dal  (Secular),2,42649,Karnataka
Haveri,10,BASAVARAJ BOMMAI,Bharatiya Janata Party,17,ANANDSWAMY GADDADEVARMATH,Indian National Congress,9,43513,Karnataka
Kolar,28,M. MALLESH BABU,Janata Dal  (Secular),2,K V GOWTHAM,Indian National Congress,9,71388,Karnataka
Koppal,8,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,9,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,17,46357,Karnataka
Mandya,20,H.D. KUMARASWAMY,Janata Dal  (Secular),2,VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,9,284620,Karnataka
Mysore,21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,17,M. LAKSHMANA,Indian National Congress,9,139262,Karnataka
Raichur,6,G. KUMAR NAIK.,Indian National Congress,9,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,17,79781,Karnataka
Shimoga,14,B.Y.RAGHAVENDRA,Bharatiya Janata Party,17,GEETHA SHIVARAJKUMAR,Indian National Congress,9,243715,Karnataka
Tumkur,19,V. SOMANNA,Bharatiya Janata Party,17,S.P. MUDDAHANUMEGOWDA,Indian National Congress,9,175594,Karnataka
Udupi Chikmagalur,15,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,17,K. JAYAPRAKASH HEGDE,Indian National Congress,9,259175,Karnataka
Uttara Kannada,12,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,17,DR. ANJALI NIMBALKAR,Indian National Congress,9,337428,Karnataka
