Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seats,Margin,State
BALAGHAT,15,BHARTI PARDHI,Bharatiya Janata Party,29,SAMRAT ASHOK SINGH SARASWAR,Indian National Congress,0,174512,Madhya Pradesh
BETUL,29,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,29,RAMU TEKAM,Indian National Congress,0,379761,Madhya Pradesh
BHIND,2,SANDHYA RAY,Bharatiya Janata Party,29,PHOOL SINGH BARAIYA,Indian National Congress,0,64840,Madhya Pradesh
BHOPAL,19,ALOK SHARMA,Bharatiya Janata Party,29,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,0,501499,Madhya Pradesh
CHHINDWARA,16,BUNTY VIVEK SAHU,Bharatiya Janata Party,29,NAKUL KAMALNATH,Indian National Congress,0,113618,Madhya Pradesh
DAMOH,7,RAHUL SINGH LODHI,Bharatiya Janata Party,29,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,0,406426,Madhya Pradesh
DEWAS,21,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,29,RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,0,425225,Madhya Pradesh
DHAR,25,SAVITRI THAKUR,Bharatiya Janata Party,29,RADHESHYAM MUVEL,Indian National Congress,0,218665,Madhya Pradesh
GUNA,4,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,29,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,0,540929,Madhya Pradesh
GWALIOR,3,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,29,PRAVEEN PATHAK,Indian National Congress,0,70210,Madhya Pradesh
HOSHANGABAD,17,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,29,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,0,431696,Madhya Pradesh
INDORE,26,SHANKAR LALWANI,Bharatiya Janata Party,29,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,0,1175092,Madhya Pradesh
JABALPUR,13,ASHISH DUBEY,Bharatiya Janata Party,29,DINESH YADAV,Indian National Congress,0,486674,Madhya Pradesh
KHAJURAHO,8,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,29,KAMLESH KUMAR,Bahujan Samaj Party,0,541229,Madhya Pradesh
KHANDWA,28,GYANESHWAR PATIL,Bharatiya Janata Party,29,NARENDRA PATEL,Indian National Congress,0,269971,Madhya Pradesh
KHARGONE,27,GAJENDRA SINGH PATEL,Bharatiya Janata Party,29,PORLAL BATHA KHARTE,Indian National Congress,0,135018,Madhya Pradesh
MANDLA,14,FAGGAN SINGH KULASTE,Bharatiya Janata Party,29,OMKAR SINGH MARKAM,Indian National Congress,0,103846,Madhya Pradesh
MANDSOUR,23,SUDHEER GUPTA,Bharatiya Janata Party,29,DILIP SINGH GURJAR,Indian National Congress,0,500655,Madhya Pradesh
MORENA,1,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,29,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,0,52530,Madhya Pradesh
RAJGARH,20,RODMAL NAGAR,Bharatiya Janata Party,29,DIGVIJAYA SINGH,Indian National Congress,0,146089,Madhya Pradesh
RATLAM,24,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,29,KANTILAL BHURIA,Indian National Congress,0,207232,Madhya Pradesh
REWA,10,JANARDAN MISHRA,Bharatiya Janata Party,29,NEELAM ABHAY MISHRA,Indian National Congress,0,193374,Madhya Pradesh
SAGAR,5,DR. LATA WANKHEDE,Bharatiya Janata Party,29,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,0,471222,Madhya Pradesh
SATNA,9,GANESH SINGH,Bharatiya Janata Party,29,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,0,84949,Madhya Pradesh
SHAHDOL,12,SMT. HIMADRI SINGH,Bharatiya Janata Party,29,PHUNDE LAL SINGH MARKO,Indian National Congress,0,397340,Madhya Pradesh
SIDHI,11,DR. RAJESH MISHRA,Bharatiya Janata Party,29,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,0,206416,Madhya Pradesh
TIKAMGARH,6,DR. VIRENDRA KUMAR,Bharatiya Janata Party,29,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,0,403312,Madhya Pradesh
UJJAIN,22,ANIL FIROJIYA,Bharatiya Janata Party,29,MAHESH PARMAR,Indian National Congress,0,375860,Madhya Pradesh
VIDISHA,18,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,29,PRATAPBHANU SHARMA,Indian National Congress,0,821408,Madhya Pradesh
