Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seats.1,Margin,State
Ahmednagar,37,NILESH DNYANDEV LANKE,Nationalist Congress Party â Sharadchandra Pawar,8,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,9,28929,Maharashtra
Akola,6,ANUP SANJAY DHOTRE,Bharatiya Janata Party,9,ABHAY KASHINATH PATIL,Indian National Congress,13,40626,Maharashtra
Amravati,7,BALWANT BASWANT WANKHADE,Indian National Congress,13,NAVNEET RAVI RANA,Bharatiya Janata Party,9,19731,Maharashtra
Aurangabad,19,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,7,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,0,134650,Maharashtra
Baramati,35,SUPRIYA SULE,Nationalist Congress Party â Sharadchandra Pawar,8,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,1,158333,Maharashtra
Beed,39,BAJRANG MANOHAR SONWANE,Nationalist Congress Party â Sharadchandra Pawar,8,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,9,6553,Maharashtra
Bhandara Gondiya,11,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,13,SUNIL BABURAO MENDHE,Bharatiya Janata Party,9,37380,Maharashtra
Bhiwandi,23,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party â Sharadchandra Pawar,8,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,9,66121,Maharashtra
Buldhana,5,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,7,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),9,29479,Maharashtra
Chandrapur,13,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,13,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,9,260406,Maharashtra
Dhule,2,BACHHAV SHOBHA DINESH,Indian National Congress,13,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,9,3831,Maharashtra
Dindori,20,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party â Sharadchandra Pawar,8,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,9,113199,Maharashtra
Gadchiroli - Chimur,12,DR. KIRSAN NAMDEO,Indian National Congress,13,ASHOK  MAHADEORAO NETE,Bharatiya Janata Party,9,141696,Maharashtra
Hatkanangale,48,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,7,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),9,13426,Maharashtra
Hingoli,15,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),9,BABURAO KADAM KOHALIKAR,Shiv Sena,7,108602,Maharashtra
Jalgaon,3,SMITA UDAY WAGH,Bharatiya Janata Party,9,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),9,251594,Maharashtra
Jalna,18,KALYAN VAIJINATHRAO KALE,Indian National Congress,13,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,9,109958,Maharashtra
Kalyan,24,DR SHRIKANT EKNATH SHINDE,Shiv Sena,7,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),9,209144,Maharashtra
Kolhapur,47,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,13,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,7,154964,Maharashtra
Latur,41,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,13,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,9,61881,Maharashtra
Madha,43,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party â Sharadchandra Pawar,8,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,9,120837,Maharashtra
Maval,33,SHRIRANG APPA CHANDU BARNE,Shiv Sena,7,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),9,96615,Maharashtra
Mumbai North,26,PIYUSH GOYAL,Bharatiya Janata Party,9,BHUSHAN PATIL,Indian National Congress,13,357608,Maharashtra
Mumbai North Central,29,GAIKWAD VARSHA EKNATH,Indian National Congress,13,ADV UJWAL NIKAM,Bharatiya Janata Party,9,16514,Maharashtra
Mumbai North East,28,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),9,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,9,29861,Maharashtra
Mumbai North West,27,RAVINDRA DATTARAM WAIKAR,Shiv Sena,7,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),9,48,Maharashtra
Mumbai South,31,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),9,YAMINI YASHWANT JADHAV,Shiv Sena,7,52673,Maharashtra
