tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
Amritsar,2,GURJEET SINGH AUJLA,Indian National Congress,7,KULDEEP SINGH DHALIWAL,Aam Aadmi Party,3,40301,Punjab
Anandpur Sahib,6,MALVINDER SINGH KANG,Aam Aadmi Party,3,VIJAY INDER SINGLA,Indian National Congress,7,10846,Punjab
Bathinda,11,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,1,GURMEET SINGH KHUDIAN,Aam Aadmi Party,3,49656,Punjab
Faridkot,9,SARABJEET SINGH KHALSA,Independent,2,KARAMJIT SINGH ANMOL,Aam Aadmi Party,3,70053,Punjab
Fatehgarh Sahib,8,AMAR SINGH,Indian National Congress,7,GURPREET SINGH GP,Aam Aadmi Party,3,34202,Punjab
Firozpur,10,SHER SINGH GHUBAYA,Indian National Congress,7,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,3,3242,Punjab
Gurdaspur,1,SUKHJINDER SINGH RANDHAWA,Indian National Congress,7,DINESH SINGH BABBU,Bharatiya Janata Party,0,82861,Punjab
Hoshiarpur,5,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,3,YAMINI GOMAR,Indian National Congress,7,44111,Punjab
Jalandhar,4,CHARANJIT SINGH CHANNI,Indian National Congress,7,SUSHIL KUMAR RINKU,Bharatiya Janata Party,0,175993,Punjab
Khadoor Sahib,3,AMRITPAL SINGH,Independent,2,KULBIR SINGH ZIRA,Indian National Congress,7,197120,Punjab
Ludhiana,7,AMRINDER SINGH RAJA WARRING,Indian National Congress,7,RAVNEET SINGH BITTU,Bharatiya Janata Party,0,20942,Punjab
Patiala,13,DR DHARAMVIRA GANDHI,Indian National Congress,7,DR BALBIR SINGH,Aam Aadmi Party,3,14831,Punjab
Sangrur,12,GURMEET SINGH MEET HAYER,Aam Aadmi Party,3,SUKHPAL SINGH KHAIRA,Indian National Congress,7,172560,Punjab
