tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
ARAKKONAM,7,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,22,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,0,306559,Tamil Nadu
ARANI,12,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,22,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,0,208766,Tamil Nadu
CHENNAI CENTRAL,4,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,22,VINOJ,Bharatiya Janata Party,0,244689,Tamil Nadu
CHENNAI NORTH,2,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,22,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,0,339222,Tamil Nadu
CHENNAI SOUTH,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,22,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,0,225945,Tamil Nadu
CHIDAMBARAM,27,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,2,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,0,103554,Tamil Nadu
COIMBATORE,20,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,22,ANNAMALAI K,Bharatiya Janata Party,0,118068,Tamil Nadu
CUDDALORE,26,M.K. VISHNUPRASAD,Indian National Congress,9,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,0,185896,Tamil Nadu
DHARMAPURI,10,MANI. A.,Dravida Munnetra Kazhagam,22,SOWMIYA ANBUMANI,Pattali Makkal Katchi,0,21300,Tamil Nadu
DINDIGUL,22,SACHITHANANTHAM R,Communist Party of India  (Marxist),2,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,0,443821,Tamil Nadu
ERODE,17,K E PRAKASH,Dravida Munnetra Kazhagam,22,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,0,236566,Tamil Nadu
KALLAKURICHI,14,MALAIYARASAN D,Dravida Munnetra Kazhagam,22,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,0,53784,Tamil Nadu
KANCHEEPURAM,6,SELVAM. G,Dravida Munnetra Kazhagam,22,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,0,221473,Tamil Nadu
KANNIYAKUMARI,39,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,9,RADHAKRISHNAN P,Bharatiya Janata Party,0,179907,Tamil Nadu
KARUR,23,JOTHIMANI. S,Indian National Congress,9,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,0,166816,Tamil Nadu
KRISHNAGIRI,9,GOPINATH K,Indian National Congress,9,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,0,192486,Tamil Nadu
MADURAI,32,VENKATESAN S,Communist Party of India  (Marxist),2,RAAMA SREENIVASAN,Bharatiya Janata Party,0,209409,Tamil Nadu
MAYILADUTHURAI,28,SUDHA R,Indian National Congress,9,BABU P,All India Anna Dravida Munnetra Kazhagam,0,271183,Tamil Nadu
NAGAPATTINAM,29,SELVARAJ V,Communist Party of India,2,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,0,208957,Tamil Nadu
NAMAKKAL,16,MATHESWARAN V S,Dravida Munnetra Kazhagam,22,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,0,29112,Tamil Nadu
NILGIRIS,19,RAJA A,Dravida Munnetra Kazhagam,22,DR MURUGAN L,Bharatiya Janata Party,0,240585,Tamil Nadu
PERAMBALUR,25,ARUN NEHRU,Dravida Munnetra Kazhagam,22,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam,0,389107,Tamil Nadu
POLLACHI,21,ESWARASAMY K,Dravida Munnetra Kazhagam,22,KARTHIKEYAN A,All India Anna Dravida Munnetra Kazhagam,0,252042,Tamil Nadu
RAMANATHAPURAM,35,NAVASKANI K,Indian Union Muslim League,1,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent,0,166782,Tamil Nadu
SALEM,15,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,22,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,0,70357,Tamil Nadu
SIVAGANGA,31,KARTI P CHIDAMBARAM,Indian National Congress,9,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,0,205664,Tamil Nadu
SRIPERUMBUDUR,5,T R BAALU,Dravida Munnetra Kazhagam,22,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,0,487029,Tamil Nadu
TENKASI,37,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,22,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,0,196199,Tamil Nadu
THANJAVUR,30,MURASOLI S,Dravida Munnetra Kazhagam,22,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,0,319583,Tamil Nadu
THENI,33,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,22,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,0,278825,Tamil Nadu
THOOTHUKKUDI,36,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,22,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,0,392738,Tamil Nadu
TIRUCHIRAPPALLI,24,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,1,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,0,313094,Tamil Nadu
TIRUNELVELI,38,ROBERT BRUCE C,Indian National Congress,9,NAINAR NAGENTHRAN,Bharatiya Janata Party,0,165620,Tamil Nadu
TIRUPPUR,18,"SUBBARAYAN, K.",Communist Party of India,2,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,0,125928,Tamil Nadu
TIRUVALLUR,1,Sasikanth Senthil,Indian National Congress,9,"Balaganapathy, V. Pon",Bharatiya Janata Party,0,572155,Tamil Nadu
TIRUVANNAMALAI,11,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,22,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,0,233931,Tamil Nadu
VELLORE,8,DM KATHIR ANAND,Dravida Munnetra Kazhagam,22,AC SHANMUGAM,Bharatiya Janata Party,0,215702,Tamil Nadu
VILUPPURAM,13,RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,2,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,0,70703,Tamil Nadu
VIRUDHUNAGAR,34,MANICKAM TAGORE B,Indian National Congress,9,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,0,4379,Tamil Nadu
