tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
Adilabad,1,GODAM NAGESH,Bharatiya Janata Party,8,ATHRAM SUGUNA,Indian National Congress,8,90652,Telangana
Bhongir,14,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,8,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,8,222170,Telangana
Chevella,10,KONDA VISHWESHWAR REDDY,Bharatiya Janata Party,8,DR GADDAM RANJITH REDDY,Indian National Congress,8,172897,Telangana
Hyderabad,9,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,1,MADHAVI LATHA KOMPELLA,Bharatiya Janata Party,8,338087,Telangana
Karimnagar,3,BANDI SANJAY KUMAR,Bharatiya Janata Party,8,VELCHALA RAJENDER RAO,Indian National Congress,8,225209,Telangana
Khammam,17,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,8,NAMA NAGESWARA RAO,Bharat Rashtra Samithi,0,467847,Telangana
Mahabubabad,16,BALRAM NAIK PORIKA,Indian National Congress,8,KAVITHA MALOTH,Bharat Rashtra Samithi,0,349165,Telangana
Mahbubnagar,11,ARUNA. D. K,Bharatiya Janata Party,8,CHALLA VAMSHI CHAND REDDY,Indian National Congress,8,4500,Telangana
Malkajgiri,7,EATALA RAJENDER,Bharatiya Janata Party,8,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,8,391475,Telangana
Medak,6,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,8,NEELAM MADHU,Indian National Congress,8,39139,Telangana
Nagarkurnool,12,DR.MALLU RAVI,Indian National Congress,8,BHARATH  PRASAD POTHUGANTI,Bharatiya Janata Party,8,94414,Telangana
Nalgonda,13,KUNDURU RAGHUVEER,Indian National Congress,8,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,8,559905,Telangana
Nizamabad,4,ARVIND DHARMAPURI,Bharatiya Janata Party,8,JEEVANREDDY THATIPARTHI,Indian National Congress,8,109241,Telangana
Peddapalle,2,VAMSI KRISHNA GADDAM,Indian National Congress,8,SRINIVAS GOMASE,Bharatiya Janata Party,8,131364,Telangana
Secunderabad,8,G. KISHAN REDDY,Bharatiya Janata Party,8,DANAM NAGENDER,Indian National Congress,8,49944,Telangana
Warangal,15,KADIYAM KAVYA,Indian National Congress,8,AROORI RAMESH,Bharatiya Janata Party,8,220339,Telangana
Zahirabad,5,SURESH KUMAR SHETKAR,Indian National Congress,8,B. B. PATIL,Bharatiya Janata Party,8,46188,Telangana
