UP_Constituency,UP_Const. No.,Leading Candidate,Leading Party,Seats_Won,Trailing Candidate,Trailing Party,Seats_Won,Margin,State
Agra,18,PROF S P SINGH BAGHEL,Bharatiya Janata Party,33,SURESH CHAND KARDAM,Samajwadi Party,37,271294,Uttar Pradesh
Akbarpur,44,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,33,RAJARAM PAL,Samajwadi Party,37,44345,Uttar Pradesh
Aligarh,15,SATISH KUMAR GAUTAM,Bharatiya Janata Party,33,BIJENDRA SINGH,Samajwadi Party,37,15647,Uttar Pradesh
Allahabad,52,UJJWAL RAMAN SINGH,Indian National Congress,6,NEERAJ TRIPATHI,Bharatiya Janata Party,33,58795,Uttar Pradesh
Ambedkar Nagar,55,LALJI VERMA,Samajwadi Party,37,RITESH PANDEY,Bharatiya Janata Party,33,137247,Uttar Pradesh
Amethi,37,KISHORI LAL,Indian National Congress,6,SMRITI IRANI,Bharatiya Janata Party,33,167196,Uttar Pradesh
Amroha,9,KANWAR SINGH TANWAR,Bharatiya Janata Party,33,KUNWAR DANISH ALI,Indian National Congress,6,28670,Uttar Pradesh
Aonla,24,NEERAJ MAURYA,Samajwadi Party,37,DHARMENDRA KASHYAP,Bharatiya Janata Party,33,15969,Uttar Pradesh
Azamgarh,69,DHARMENDRA YADAV,Samajwadi Party,37,DINESH LAL YADAV âNIRAHUAâ,Bharatiya Janata Party,33,161035,Uttar Pradesh
Badaun,23,ADITYA YADAV,Samajwadi Party,37,DURVIJAY SINGH SHAKYA,Bharatiya Janata Party,33,34991,Uttar Pradesh
Baghpat,11,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,2,AMARPAL,Samajwadi Party,37,159459,Uttar Pradesh
Baharaich,56,ANAND KUMAR,Bharatiya Janata Party,33,RAMESH CHANDRA,Samajwadi Party,37,64227,Uttar Pradesh
Ballia,72,SANATAN PANDEY,Samajwadi Party,37,NEERAJ SHEKHAR,Bharatiya Janata Party,33,43384,Uttar Pradesh
Banda,48,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,37,R. K. SINGH PATEL,Bharatiya Janata Party,33,71210,Uttar Pradesh
Bansgaon,67,KAMLESH PASWAN,Bharatiya Janata Party,33,SADAL PRASAD,Indian National Congress,6,3150,Uttar Pradesh
Barabanki,53,TANUJ PUNIA,Indian National Congress,6,RAJRANI RAWAT,Bharatiya Janata Party,33,215704,Uttar Pradesh
Bareilly,25,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,33,PRAVEEN SINGH ARON,Samajwadi Party,37,34804,Uttar Pradesh
Basti,61,RAM PRASAD CHAUDHARY,Samajwadi Party,37,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,33,100994,Uttar Pradesh
Bhadohi,78,DR. VINOD KUMAR BIND,Bharatiya Janata Party,33,LALITESHPATI TRIPATHI,All India Trinamool Congress,0,44072,Uttar Pradesh
Bijnor,4,CHANDAN CHAUHAN,Rashtriya Lok Dal,2,DEEPAK,Samajwadi Party,37,37508,Uttar Pradesh
Bulandshahr,14,DR BHOLA SINGH,Bharatiya Janata Party,33,SHIVRAM,Indian National Congress,6,275134,Uttar Pradesh
Chandauli,76,BIRENDRA SINGH,Samajwadi Party,37,DR. MAHENDRA NATH  PANDEY,Bharatiya Janata Party,33,21565,Uttar Pradesh
Deoria,66,SHASHANK MANI,Bharatiya Janata Party,33,AKHILESH PRATAP SINGH,Indian National Congress,6,34842,Uttar Pradesh
Dhaurahra,29,ANAND BHADAURIYA,Samajwadi Party,37,REKHA VERMA,Bharatiya Janata Party,33,4449,Uttar Pradesh
Domariyaganj,60,JAGDAMBIKA PAL,Bharatiya Janata Party,33,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,37,42728,Uttar Pradesh
Etah,22,DEVESH SHAKYA,Samajwadi Party,37,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,33,28052,Uttar Pradesh
Etawah,41,JITENDRA KUMAR DOHARE,Samajwadi Party,37,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,33,58419,Uttar Pradesh
Faizabad,54,AWADHESH PRASAD,Samajwadi Party,37,LALLU SINGH,Bharatiya Janata Party,33,54567,Uttar Pradesh
Farrukhabad,40,MUKESH RAJPUT,Bharatiya Janata Party,33,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,37,2678,Uttar Pradesh
Fatehpur,49,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,37,NIRANJAN JYOTI,Bharatiya Janata Party,33,33199,Uttar Pradesh
Fatehpur Sikri,19,RAJKUMAR CHAHAR,Bharatiya Janata Party,33,RAMNATH SINGH SIKARWAR,Indian National Congress,6,43405,Uttar Pradesh
Firozabad,20,AKSHAYA YADAV,Samajwadi Party,37,VISHWADEEP SINGH,Bharatiya Janata Party,33,89312,Uttar Pradesh
Gautam Buddha Nagar,13,DR. MAHESH SHARMA,Bharatiya Janata Party,33,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,37,559472,Uttar Pradesh
Ghaziabad,12,ATUL GARG,Bharatiya Janata Party,33,DOLLY SHARMA,Indian National Congress,6,336965,Uttar Pradesh
Ghazipur,75,AFZAL ANSARI,Samajwadi Party,37,PARS NATH RAI,Bharatiya Janata Party,33,124861,Uttar Pradesh
Ghosi,70,RAJEEV RAI,Samajwadi Party,37,DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,0,162943,Uttar Pradesh
Gonda,59,KIRTIVARDHAN SINGH,Bharatiya Janata Party,33,SHREYA VERMA,Samajwadi Party,37,46224,Uttar Pradesh
Gorakhpur,64,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,33,KAJAL NISHAD,Samajwadi Party,37,103526,Uttar Pradesh
Hamirpur,47,AJENDRA SINGH LODHI,Samajwadi Party,37,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,33,2629,Uttar Pradesh
Hardoi,31,JAI PRAKASH,Bharatiya Janata Party,33,USHA VERMA,Samajwadi Party,37,27856,Uttar Pradesh
