tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
Hathras,16,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,33,JASVEER VALMIKI,Samajwadi Party,37,247318,Uttar Pradesh
Jalaun,45,NARAYAN DAS AHIRWAR,Samajwadi Party,37,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,33,53898,Uttar Pradesh
Jaunpur,73,BABU SINGH KUSHWAHA,Samajwadi Party,37,KRIPASHANKAR SINGH,Bharatiya Janata Party,33,99335,Uttar Pradesh
Jhansi,46,ANURAG SHARMA,Bharatiya Janata Party,33,"PRADEEP JAIN ""ADITYA""",Indian National Congress,6,102614,Uttar Pradesh
Kairana,2,IQRA CHOUDHARY,Samajwadi Party,37,PRADEEP KUMAR,Bharatiya Janata Party,33,69116,Uttar Pradesh
Kaiserganj,57,KARAN BHUSHAN SINGH,Bharatiya Janata Party,33,BHAGAT RAM,Samajwadi Party,37,148843,Uttar Pradesh
Kannauj,42,AKHILESH YADAV,Samajwadi Party,37,SUBRAT PATHAK,Bharatiya Janata Party,33,170922,Uttar Pradesh
Kanpur,43,RAMESH AWASTHI,Bharatiya Janata Party,33,ALOK MISRA,Indian National Congress,6,20968,Uttar Pradesh
Kaushambi,50,PUSHPENDRA SAROJ,Samajwadi Party,37,VINOD KUMAR SONKAR,Bharatiya Janata Party,33,103944,Uttar Pradesh
Kheri,28,UTKARSH VERMA 'MADHUR',Samajwadi Party,37,AJAY KUMAR,Bharatiya Janata Party,33,34329,Uttar Pradesh
Kushi Nagar,65,VIJAY KUMAR DUBAY,Bharatiya Janata Party,33,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,37,81790,Uttar Pradesh
Lalganj,68,DAROGA PRASAD SAROJ,Samajwadi Party,37,NEELAM SONKER,Bharatiya Janata Party,33,115023,Uttar Pradesh
Lucknow,35,RAJ NATH SINGH,Bharatiya Janata Party,33,RAVIDAS MEHROTRA,Samajwadi Party,37,135159,Uttar Pradesh
Machhlishahr,74,PRIYA SAROJ,Samajwadi Party,37,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,33,35850,Uttar Pradesh
Maharajganj,63,PANKAJ CHAUDHARY,Bharatiya Janata Party,33,VIRENDRA CHAUDHARY,Indian National Congress,6,35451,Uttar Pradesh
Mainpuri,21,DIMPLE YADAV,Samajwadi Party,37,JAYVEER SINGH,Bharatiya Janata Party,33,221639,Uttar Pradesh
Mathura,17,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,33,MUKESH DHANGAR,Indian National Congress,6,293407,Uttar Pradesh
Meerut,10,ARUN GOVIL,Bharatiya Janata Party,33,SUNITA VERMA,Samajwadi Party,37,10585,Uttar Pradesh
Mirzapur,79,ANUPRIYA PATEL,Apna Dal (Soneylal),1,RAMESH CHAND BIND,Samajwadi Party,37,37810,Uttar Pradesh
Misrikh,32,ASHOK KUMAR RAWAT,Bharatiya Janata Party,33,SANGITA RAJVANSHI,Samajwadi Party,37,33406,Uttar Pradesh
Mohanlalganj,34,R.K. CHAUDHARY,Samajwadi Party,37,KAUSHAL KISHORE,Bharatiya Janata Party,33,70292,Uttar Pradesh
