tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
Hooghly,28,RACHNA BANERJEE,All India Trinamool Congress,29,LOCKET CHATTERJEE,Bharatiya Janata Party,12,76853,West Bengal
Howrah,25,PRASUN BANERJEE,All India Trinamool Congress,29,DR RATHIN CHAKRAVARTY,Bharatiya Janata Party,12,169442,West Bengal
Jadavpur,22,SAYANI GHOSH,All India Trinamool Congress,29,DR. ANIRBAN GANGULY,Bharatiya Janata Party,12,258201,West Bengal
Jalpaiguri,3,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,12,NIRMAL CHANDRA ROY,All India Trinamool Congress,29,86693,West Bengal
Jangipur,9,KHALILUR RAHAMAN,All India Trinamool Congress,29,MURTOJA HOSSAIN BOKUL,Indian National Congress,1,116637,West Bengal
Jhargram,33,KALIPADA SAREN (KHERWAL),All India Trinamool Congress,29,DR. PRANAT TUDU,Bharatiya Janata Party,12,174048,West Bengal
Joynagar,19,PRATIMA MONDAL,All India Trinamool Congress,29,ASHOK KANDARY,Bharatiya Janata Party,12,470219,West Bengal
Kanthi,31,ADHIKARI SOUMENDU,Bharatiya Janata Party,12,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress,29,47764,West Bengal
Kolkata Dakshin,23,MALA ROY,All India Trinamool Congress,29,DEBASREE CHAUDHURI,Bharatiya Janata Party,12,187231,West Bengal
Kolkata Uttar,24,BANDYOPADHYAY SUDIP,All India Trinamool Congress,29,TAPAS ROY,Bharatiya Janata Party,12,92560,West Bengal
Krishnanagar,12,MAHUA MOITRA,All India Trinamool Congress,29,AMRITA ROY,Bharatiya Janata Party,12,56705,West Bengal
Maldaha Dakshin,8,ISHA KHAN CHOUDHURY,Indian National Congress,1,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,12,128368,West Bengal
Maldaha Uttar,7,KHAGEN MURMU,Bharatiya Janata Party,12,PRASUN BANERJEE,All India Trinamool Congress,29,77708,West Bengal
Mathurapur,20,BAPI HALDAR,All India Trinamool Congress,29,ASHOK PURKAIT,Bharatiya Janata Party,12,201057,West Bengal
Medinipur,34,JUNE MALIAH,All India Trinamool Congress,29,AGNIMITRA PAUL,Bharatiya Janata Party,12,27191,West Bengal
Murshidabad,11,ABU TAHER KHAN,All India Trinamool Congress,29,MD SALIM,Communist Party of India  (Marxist),0,164215,West Bengal
Purulia,35,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,12,SHANTIRAM MAHATO,All India Trinamool Congress,29,17079,West Bengal
Raiganj,5,KARTICK CHANDRA PAUL,Bharatiya Janata Party,12,KALYANI KRISHNA,All India Trinamool Congress,29,68197,West Bengal
Ranaghat,13,JAGANNATH SARKAR,Bharatiya Janata Party,12,MUKUT MANI ADHIKARI,All India Trinamool Congress,29,186899,West Bengal
Srerampur,27,KALYAN BANERJEE,All India Trinamool Congress,29,KABIR SHANKAR BOSE,Bharatiya Janata Party,12,174830,West Bengal
Tamluk,30,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,12,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,29,77733,West Bengal
Uluberia,26,SAJDA AHMED,All India Trinamool Congress,29,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,12,218673,West Bengal
