Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seats.1,Margin,State
Alipurduars,2,MANOJ TIGGA,Bharatiya Janata Party,12,PRAKASH CHIK BARAIK,All India Trinamool Congress,29,75447,West Bengal
Arambagh,29,BAG MITALI,All India Trinamool Congress,29,ARUP KANTI DIGAR,Bharatiya Janata Party,12,6399,West Bengal
Asansol,40,SHATRUGHAN PRASAD SINHA,All India Trinamool Congress,29,SURENDRAJEET SINGH AHLUWALIA,Bharatiya Janata Party,12,59564,West Bengal
Baharampur,10,PATHAN YUSUF,All India Trinamool Congress,29,ADHIR RANJAN CHOWDHURY,Indian National Congress,1,85022,West Bengal
Balurghat,6,SUKANTA MAJUMDAR,Bharatiya Janata Party,12,BIPLAB MITRA,All India Trinamool Congress,29,10386,West Bengal
Bangaon,14,SHANTANU THAKUR,Bharatiya Janata Party,12,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,29,73693,West Bengal
Bankura,36,ARUP CHAKRABORTY,All India Trinamool Congress,29,DR. SUBHAS SARKAR,Bharatiya Janata Party,12,32778,West Bengal
Barasat,17,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,29,SWAPAN MAJUMDER,Bharatiya Janata Party,12,114189,West Bengal
Bardhaman Purba,38,DR. SHARMILA SARKAR,All India Trinamool Congress,29,ASIM KUMAR SARKAR,Bharatiya Janata Party,12,160572,West Bengal
Bardhaman-Durgapur,39,AZAD KIRTI JHA,All India Trinamool Congress,29,DILIP GHOSH,Bharatiya Janata Party,12,137981,West Bengal
Barrackpur,15,PARTHA BHOWMICK,All India Trinamool Congress,29,ARJUN SINGH,Bharatiya Janata Party,12,64438,West Bengal
Basirhat,18,SK NURUL ISLAM,All India Trinamool Congress,29,REKHA PATRA,Bharatiya Janata Party,12,333547,West Bengal
Birbhum,42,SATABDI ROY,All India Trinamool Congress,29,DEBTANU BHATTACHARYA,Bharatiya Janata Party,12,197650,West Bengal
Bishnupur,37,KHAN SAUMITRA,Bharatiya Janata Party,12,SUJATA MONDAL,All India Trinamool Congress,29,5567,West Bengal
Bolpur,41,ASIT KUMAR MAL,All India Trinamool Congress,29,PIYA SAHA,Bharatiya Janata Party,12,327253,West Bengal
Coochbehar,1,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,29,NISITH PRAMANIK,Bharatiya Janata Party,12,39250,West Bengal
Darjeeling,4,RAJU BISTA,Bharatiya Janata Party,12,GOPAL LAMA,All India Trinamool Congress,29,178525,West Bengal
Diamond harbour,21,ABHISHEK BANERJEE,All India Trinamool Congress,29,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,12,710930,West Bengal
Dum dum,16,SOUGATA RAY,All India Trinamool Congress,29,SILBHADRA DATTA,Bharatiya Janata Party,12,70660,West Bengal
Ghatal,32,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,29,DR. HIRANMOY CHATTOPADHYAYA,Bharatiya Janata Party,12,182868,West Bengal
Hooghly,28,RACHNA BANERJEE,All India Trinamool Congress,29,LOCKET CHATTERJEE,Bharatiya Janata Party,12,76853,West Bengal
Howrah,25,PRASUN BANERJEE,All India Trinamool Congress,29,DR RATHIN CHAKRAVARTY,Bharatiya Janata Party,12,169442,West Bengal
Jadavpur,22,SAYANI GHOSH,All India Trinamool Congress,29,DR. ANIRBAN GANGULY,Bharatiya Janata Party,12,258201,West Bengal
Jalpaiguri,3,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,12,NIRMAL CHANDRA ROY,All India Trinamool Congress,29,86693,West Bengal
Jangipur,9,KHALILUR RAHAMAN,All India Trinamool Congress,29,MURTOJA HOSSAIN BOKUL,Indian National Congress,1,116637,West Bengal
Jhargram,33,KALIPADA SAREN (KHERWAL),All India Trinamool Congress,29,DR. PRANAT TUDU,Bharatiya Janata Party,12,174048,West Bengal
Joynagar,19,PRATIMA MONDAL,All India Trinamool Congress,29,ASHOK KANDARY,Bharatiya Janata Party,12,470219,West Bengal
Kanthi,31,ADHIKARI SOUMENDU,Bharatiya Janata Party,12,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress,29,47764,West Bengal
Kolkata Dakshin,23,MALA ROY,All India Trinamool Congress,29,DEBASREE CHAUDHURI,Bharatiya Janata Party,12,187231,West Bengal
Kolkata Uttar,24,BANDYOPADHYAY SUDIP,All India Trinamool Congress,29,TAPAS ROY,Bharatiya Janata Party,12,92560,West Bengal
Krishnanagar,12,MAHUA MOITRA,All India Trinamool Congress,29,AMRITA ROY,Bharatiya Janata Party,12,56705,West Bengal
Maldaha Dakshin,8,ISHA KHAN CHOUDHURY,Indian National Congress,1,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,12,128368,West Bengal
